"","Age.at.which.Full.Time.Education.Ceased","Sex","CensusYear","Province.County.or.City","Highest.Level.of.Education.Completed","value"
"363","Under 15 years","Female","2011","Fingal","Total education ceased and not ceased",3650
"364","15 years","Female","2011","Fingal","Total education ceased and not ceased",2786
"365","16 years","Female","2011","Fingal","Total education ceased and not ceased",5466
"366","17 years","Female","2011","Fingal","Total education ceased and not ceased",7969
"367","18 years","Female","2011","Fingal","Total education ceased and not ceased",11306
"368","19 years","Female","2011","Fingal","Total education ceased and not ceased",4488
"369","20 years","Female","2011","Fingal","Total education ceased and not ceased",3703
"370","21 years","Female","2011","Fingal","Total education ceased and not ceased",5026
"371","22 years","Female","2011","Fingal","Total education ceased and not ceased",4580
"372","23 years","Female","2011","Fingal","Total education ceased and not ceased",3100
"373","24 years","Female","2011","Fingal","Total education ceased and not ceased",2246
"374","25 years and over","Female","2011","Fingal","Total education ceased and not ceased",6367
"375","Not stated","Female","2011","Fingal","Total education ceased and not ceased",27419
"376","Total whose full-time education has not ceased","Female","2011","Fingal","Total education ceased and not ceased",18909
"377","Full-time education not ceased - Total at school, university, etc.","Female","2011","Fingal","Total education ceased and not ceased",10667
"378","Full-time education not ceased - Other","Female","2011","Fingal","Total education ceased and not ceased",8242
"379","Total persons","Both sexes","2011","South Dublin","Total education ceased and not ceased",203924
"380","Total whose full-time education has ceased","Both sexes","2011","South Dublin","Total education ceased and not ceased",168911
"381","Under 15 years","Both sexes","2011","South Dublin","Total education ceased and not ceased",14268
"382","15 years","Both sexes","2011","South Dublin","Total education ceased and not ceased",9697
"383","16 years","Both sexes","2011","South Dublin","Total education ceased and not ceased",16125
"384","17 years","Both sexes","2011","South Dublin","Total education ceased and not ceased",16502
"385","18 years","Both sexes","2011","South Dublin","Total education ceased and not ceased",22788
"386","19 years","Both sexes","2011","South Dublin","Total education ceased and not ceased",7202
"387","20 years","Both sexes","2011","South Dublin","Total education ceased and not ceased",6444
"388","21 years","Both sexes","2011","South Dublin","Total education ceased and not ceased",8282
"389","22 years","Both sexes","2011","South Dublin","Total education ceased and not ceased",7555
"390","23 years","Both sexes","2011","South Dublin","Total education ceased and not ceased",5016
"391","24 years","Both sexes","2011","South Dublin","Total education ceased and not ceased",3655
"392","25 years and over","Both sexes","2011","South Dublin","Total education ceased and not ceased",10694
"393","Not stated","Both sexes","2011","South Dublin","Total education ceased and not ceased",40683
"394","Total whose full-time education has not ceased","Both sexes","2011","South Dublin","Total education ceased and not ceased",35013
"395","Full-time education not ceased - Total at school, university, etc.","Both sexes","2011","South Dublin","Total education ceased and not ceased",22307
"396","Full-time education not ceased - Other","Both sexes","2011","South Dublin","Total education ceased and not ceased",12706
"397","Total persons","Male","2011","South Dublin","Total education ceased and not ceased",98195
"398","Total whose full-time education has ceased","Male","2011","South Dublin","Total education ceased and not ceased",80740
"399","Under 15 years","Male","2011","South Dublin","Total education ceased and not ceased",6524
"400","15 years","Male","2011","South Dublin","Total education ceased and not ceased",5065
"401","16 years","Male","2011","South Dublin","Total education ceased and not ceased",8504
"402","17 years","Male","2011","South Dublin","Total education ceased and not ceased",7389
"403","18 years","Male","2011","South Dublin","Total education ceased and not ceased",10603
"404","19 years","Male","2011","South Dublin","Total education ceased and not ceased",3111
"405","20 years","Male","2011","South Dublin","Total education ceased and not ceased",3114
"406","21 years","Male","2011","South Dublin","Total education ceased and not ceased",3900
"407","22 years","Male","2011","South Dublin","Total education ceased and not ceased",3741
"408","23 years","Male","2011","South Dublin","Total education ceased and not ceased",2458
"409","24 years","Male","2011","South Dublin","Total education ceased and not ceased",1820
"410","25 years and over","Male","2011","South Dublin","Total education ceased and not ceased",5260
"411","Not stated","Male","2011","South Dublin","Total education ceased and not ceased",19251
"412","Total whose full-time education has not ceased","Male","2011","South Dublin","Total education ceased and not ceased",17455
"413","Full-time education not ceased - Total at school, university, etc.","Male","2011","South Dublin","Total education ceased and not ceased",11264
"414","Full-time education not ceased - Other","Male","2011","South Dublin","Total education ceased and not ceased",6191
"415","Total persons","Female","2011","South Dublin","Total education ceased and not ceased",105729
"416","Total whose full-time education has ceased","Female","2011","South Dublin","Total education ceased and not ceased",88171
"417","Under 15 years","Female","2011","South Dublin","Total education ceased and not ceased",7744
"418","15 years","Female","2011","South Dublin","Total education ceased and not ceased",4632
"419","16 years","Female","2011","South Dublin","Total education ceased and not ceased",7621
"420","17 years","Female","2011","South Dublin","Total education ceased and not ceased",9113
"421","18 years","Female","2011","South Dublin","Total education ceased and not ceased",12185
"422","19 years","Female","2011","South Dublin","Total education ceased and not ceased",4091
"423","20 years","Female","2011","South Dublin","Total education ceased and not ceased",3330
"424","21 years","Female","2011","South Dublin","Total education ceased and not ceased",4382
"425","22 years","Female","2011","South Dublin","Total education ceased and not ceased",3814
"426","23 years","Female","2011","South Dublin","Total education ceased and not ceased",2558
"427","24 years","Female","2011","South Dublin","Total education ceased and not ceased",1835
"428","25 years and over","Female","2011","South Dublin","Total education ceased and not ceased",5434
"429","Not stated","Female","2011","South Dublin","Total education ceased and not ceased",21432
"430","Total whose full-time education has not ceased","Female","2011","South Dublin","Total education ceased and not ceased",17558
"431","Full-time education not ceased - Total at school, university, etc.","Female","2011","South Dublin","Total education ceased and not ceased",11043
"432","Full-time education not ceased - Other","Female","2011","South Dublin","Total education ceased and not ceased",6515
"433","Total persons","Both sexes","2011","Kildare","Total education ceased and not ceased",158744
"434","Total whose full-time education has ceased","Both sexes","2011","Kildare","Total education ceased and not ceased",131591
"435","Under 15 years","Both sexes","2011","Kildare","Total education ceased and not ceased",7041
"436","15 years","Both sexes","2011","Kildare","Total education ceased and not ceased",5439
"437","16 years","Both sexes","2011","Kildare","Total education ceased and not ceased",10493
"438","17 years","Both sexes","2011","Kildare","Total education ceased and not ceased",12072
"439","18 years","Both sexes","2011","Kildare","Total education ceased and not ceased",16861
"440","19 years","Both sexes","2011","Kildare","Total education ceased and not ceased",5836
"441","20 years","Both sexes","2011","Kildare","Total education ceased and not ceased",5745
